catch_raw_id,trap_visit_id,release_id,trap_visit_time_end,stream,site,trap_name,species_common_name,capture_run,capture_run_method,adipose_clipped,dead,life_stage,fork_length,weight,num_fish_caught,plus_count,plus_count_methodology,is_random,mark_type,mark_color,mark_position
4,1,NA,2023-10-25T09:30:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,Hardhead,NA,NA,NA,NA,NA,115,NA,1,NA,NA,NA,NA,NA,NA
5,2,NA,2023-11-06T09:50:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,Riffle sculpin,NA,NA,NA,NA,NA,73,NA,1,NA,NA,NA,NA,NA,NA
11,4,NA,2023-12-05T09:45:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,Riffle sculpin,NA,NA,NA,NA,NA,85,NA,1,NA,NA,NA,NA,NA,NA
12,4,NA,2023-12-05T09:45:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,Riffle sculpin,NA,NA,NA,NA,NA,70,NA,1,NA,NA,NA,NA,NA,NA
21,7,NA,2023-11-06T10:50:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,Sacramento pikeminnow,NA,NA,NA,NA,NA,62,NA,1,NA,NA,NA,NA,NA,NA
22,7,NA,2023-11-06T10:50:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,Sacramento pikeminnow,NA,NA,NA,NA,NA,105,NA,1,NA,NA,NA,NA,NA,NA
31,7,NA,2023-11-06T10:50:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,Prickly sculpin,NA,NA,NA,NA,NA,74,NA,1,NA,NA,NA,NA,NA,NA
32,7,NA,2023-11-06T10:50:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,Prickly sculpin,NA,NA,NA,NA,NA,70,NA,1,NA,NA,NA,NA,NA,NA
41,8,NA,2023-12-11T09:40:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,Unknown lamprey (Entosphenus or Lampetra),NA,NA,NA,NA,NA,105,NA,1,NA,NA,NA,NA,NA,NA
42,8,NA,2023-12-11T09:40:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,Unknown lamprey (Entosphenus or Lampetra),NA,NA,NA,NA,NA,110,NA,1,NA,NA,NA,NA,NA,NA
49,9,NA,2023-11-07T02:00:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,Hardhead,NA,NA,NA,NA,NA,90,NA,1,NA,NA,NA,NA,NA,NA
53,9,NA,2023-11-07T02:00:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,Hardhead,NA,NA,NA,NA,NA,87,NA,1,NA,NA,NA,NA,NA,NA
59,9,NA,2023-11-07T02:00:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,Prickly sculpin,NA,NA,NA,NA,NA,86,NA,1,NA,NA,NA,NA,NA,NA
62,9,NA,2023-11-07T02:00:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,Sacramento sucker,NA,NA,NA,NA,NA,84,NA,1,NA,NA,NA,NA,NA,NA
69,11,NA,2023-11-08T09:00:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,Chinook salmon,NA,NA,NA,NA,NA,123,NA,1,NA,NA,NA,NA,NA,NA
73,11,NA,2023-11-08T09:00:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,Hardhead,NA,NA,NA,NA,NA,120,NA,1,NA,NA,NA,NA,NA,NA
79,11,NA,2023-11-08T09:00:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,Hardhead,NA,NA,NA,NA,NA,44,NA,1,NA,NA,NA,NA,NA,NA
83,11,NA,2023-11-08T09:00:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,Riffle sculpin,NA,NA,NA,NA,NA,67,NA,1,NA,NA,NA,NA,NA,NA
89,11,NA,2023-11-08T09:00:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,Prickly sculpin,NA,NA,NA,NA,NA,72,NA,1,NA,NA,NA,NA,NA,NA
94,11,NA,2023-11-08T09:00:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,Delta smelt,NA,NA,NA,NA,NA,75,NA,1,NA,NA,NA,NA,NA,NA
99,11,NA,2023-11-08T09:00:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,River lamprey,NA,NA,NA,NA,NA,61,NA,1,NA,NA,NA,NA,NA,NA
104,13,NA,2023-11-04T12:15:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,Riffle sculpin,NA,NA,NA,NA,NA,67,NA,1,NA,NA,NA,NA,NA,NA
109,14,NA,2023-12-21T09:00:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,Unknown lamprey (Entosphenus or Lampetra),NA,NA,NA,NA,NA,87,NA,1,NA,NA,NA,NA,NA,NA
114,14,NA,2023-12-21T09:00:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,Hardhead,NA,NA,NA,NA,NA,41,NA,1,NA,NA,NA,NA,NA,NA
118,14,NA,2023-12-21T09:00:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,River lamprey,NA,NA,NA,NA,NA,124,NA,1,NA,NA,NA,NA,NA,NA
124,14,NA,2023-12-21T09:00:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,River lamprey,NA,NA,NA,NA,NA,126,NA,1,NA,NA,NA,NA,NA,NA
127,14,NA,2023-12-21T09:00:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,River lamprey,NA,NA,NA,NA,NA,112,NA,1,NA,NA,NA,NA,NA,NA
