catch_raw_id,trap_visit_id,release_id,trap_visit_time_end,stream,site,trap_name,species_common_name,capture_run,capture_run_method,adipose_clipped,dead,life_stage,fork_length,weight,num_fish_caught,plus_count,plus_count_methodology,is_random,mark_type,mark_color,mark_position
4029,94,1,2024-03-12T09:30:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,Chinook salmon,fall,expert judgement,NA,NA,NA,NA,NA,1,NA,NA,NA,bismark brown,NA,NA
4032,94,1,2024-03-12T09:30:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,Chinook salmon,fall,expert judgement,NA,NA,NA,NA,NA,1,NA,NA,NA,bismark brown,NA,NA
4034,94,1,2024-03-12T09:30:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,Chinook salmon,fall,expert judgement,NA,NA,NA,NA,NA,1,NA,NA,NA,bismark brown,NA,NA
4036,122,2,2024-03-27T10:40:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,Chinook salmon,fall,expert judgement,NA,NA,parr,NA,NA,1,NA,NA,NA,bismark brown,NA,NA
4038,122,2,2024-03-27T10:40:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,Chinook salmon,fall,expert judgement,NA,NA,parr,NA,NA,1,NA,NA,NA,bismark brown,NA,NA
4040,122,2,2024-03-27T10:40:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,Chinook salmon,fall,expert judgement,NA,NA,parr,NA,NA,1,NA,NA,NA,bismark brown,NA,NA
4042,122,2,2024-03-27T10:40:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,Chinook salmon,fall,expert judgement,NA,NA,parr,NA,NA,1,NA,NA,NA,bismark brown,NA,NA
4030,94,1,2024-03-12T09:30:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,Chinook salmon,fall,expert judgement,NA,NA,NA,NA,NA,1,NA,NA,NA,bismark brown,NA,NA
4031,94,1,2024-03-12T09:30:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,Chinook salmon,fall,expert judgement,NA,NA,NA,NA,NA,1,NA,NA,NA,bismark brown,NA,NA
4033,94,1,2024-03-12T09:30:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,Chinook salmon,fall,expert judgement,NA,NA,NA,NA,NA,1,NA,NA,NA,bismark brown,NA,NA
4035,122,2,2024-03-27T10:40:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,Chinook salmon,fall,expert judgement,NA,NA,parr,NA,NA,1,NA,NA,NA,bismark brown,NA,NA
4037,122,2,2024-03-27T10:40:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,Chinook salmon,fall,expert judgement,NA,NA,parr,NA,NA,1,NA,NA,NA,bismark brown,NA,NA
4039,122,2,2024-03-27T10:40:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,Chinook salmon,fall,expert judgement,NA,NA,parr,NA,NA,1,NA,NA,NA,bismark brown,NA,NA
4041,122,2,2024-03-27T10:40:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,Chinook salmon,fall,expert judgement,NA,NA,parr,NA,NA,1,NA,NA,NA,bismark brown,NA,NA
4049,145,3,2024-04-09T11:00:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,Chinook salmon,fall,expert judgement,NA,NA,smolt,NA,NA,1,NA,NA,NA,bismark brown,NA,NA
4043,122,2,2024-03-27T10:40:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,Chinook salmon,fall,expert judgement,NA,NA,parr,NA,NA,1,NA,NA,NA,bismark brown,NA,NA
4052,146,5,2024-03-20T10:45:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,Chinook salmon,fall,expert judgement,NA,NA,parr,NA,NA,1,NA,NA,NA,bismark brown,NA,NA
